overlook,/ˌoʊvərˈlʊk/,"간과하다 <중요성을 파악하지 못하거나, 큰 관심 없이 대충 보아 넘기다>",It's easy to overlook small errors when you're rushing.
ungodly,/ʌnˈɡɑdli/,"과도한, 터무니없는, 엄청난 <명사 앞에만 씀>",She called me at an ungodly hour of the morning.
let ~ out,,"(울음소리, 신음소리 등을) 내다",She let out a scream when she saw the spider.
hack,/hæk/,"(마구, 거칠게) ~을 자르다, 베다, 난도질하다",He hacked the branches off the tree with a machete.
hack,/hæk/,비법,This kitchen hack saves me ten minutes every morning.
rhinoceros,/raɪˈnɑsərəs/,코뿔소,A rhinoceros charged across the dusty African plain.
abduction,/æbˈdʌkʃən/,유괴,The police investigated the child's abduction for months.
perspiration,/ˌpɜrspəˈreɪʃən/,땀,Perspiration dripped down his face during the workout.
wreck,/rɛk/,"(육체적, 정신적으로) 망가진 사람, 만신창이","After the exams, I was a complete nervous wreck."
wreck,/rɛk/,난파시키다,The storm wrecked several boats along the coast.
revolting,/rɪˈvoʊltɪŋ/,"혐오스러운, 역겨운",The smell coming from the fridge was absolutely revolting.
indifference,/ɪnˈdɪfərəns/,"(~에 대한) 무관심, 무심",Her indifference to the news surprised everyone in the room.
immersion,/ɪˈmɜrʒən/,몰입 교육 <교육학 용어. 모국어를 배제하고 학습 중인 언어로만 수업하는 방식>,Language immersion helped her become fluent in just one year.
could have sworn,,"분명히 ~ 했었던 것 같은데, 확실히 ~ 했었는데 <사실은 그렇지 않을 때>",I could have sworn I locked the door before leaving.
be going to ~,,"~해라, ~해야 하다 <명령할 때 쓰는 표현>",You are going to apologize to your sister right now.
timid,/ˈtɪmɪd/,"소심한, 용기가 없는, 자신감이 없는",The timid puppy hid behind the couch when guests arrived.
rip,/rɪp/,"(빠르고 거칠게) 뜯어내다, 떼어 내다",He ripped the wrapping paper off the gift eagerly.
rip,/rɪp/,"(갑자기, 거칠게) 찢다",She ripped the letter in half without reading it.
sarcastic,/sɑrˈkæstɪk/,"빈정대는, 비꼬는",His sarcastic comment made everyone at the table laugh.
intimidated,/ɪnˈtɪmɪˌdeɪtɪd/,"겁먹은, 겁을 내는, 위축된, 주눅 든 <주로 서술적 용법으로 씀>",She felt intimidated by the size of the crowd.
candidly,/ˈkændɪdli/,"솔직히, 숨김없이",He spoke candidly about his struggles with anxiety.
flee,/fli/,"달아나다, 도망치다 <자동사>",The villagers had to flee from the approaching wildfire.
prehistoric,/ˌprihɪˈstɔrɪk/,선사 시대의,Archaeologists discovered prehistoric tools inside the cave.
collective intelligence,/kəˌlɛktɪv ɪnˈtɛlɪdʒəns/,집단 지성,Wikipedia is a great example of collective intelligence at work.
impede,/ɪmˈpid/,"(진행을) 방해하다, 지연시키다",Heavy snow impeded the rescue team's progress up the mountain.
pertinent,/ˈpɜrtɪnənt/,"(~와) 직접적인 관련이 있는, 적절히 관련된 <격식>",Please include only pertinent information in your report.
assailant,/əˈseɪlənt/,"(특히 신체적) 공격을 가한 사람, 폭행범 <격식>",The victim could not identify her assailant in the dark.
meteor,/ˈmitiər/,"유성, 별똥별",We watched a bright meteor streak across the night sky.
glimpse,/ɡlɪmps/,"힐끗 보다, 언뜻 보다",I only glimpsed her face before she disappeared into the crowd.
advent,/ˈædvɛnt/,"도래, 출현",The advent of smartphones changed how we communicate forever.
eradicate,/ɪˈrædɪˌkeɪt/,"근절하다, 뿌리뽑다",Scientists hope to eradicate malaria within a few decades.
sacred,/ˈseɪkrɪd/,"신성시되는, 신성불가침의","In their culture, hospitality is considered a sacred duty."
sacred,/ˈseɪkrɪd/,"성스러운, 신성한",The temple is a sacred site for millions of pilgrims.
only,/ˈoʊnli/,"(시간, 상황이) ~가 되어서야",It was only after midnight that he finally came home.
giggle,/ˈɡɪɡəl/,"피식 웃음, 킥킥거림, 낄낄거림",The children broke into a giggle during the quiet ceremony.
laxative,/ˈlæksətɪv/,"완하제 <배변을 쉽게 하는 약, 음식, 음료>",The doctor prescribed a mild laxative for her constipation.
reed,/rid/,갈대,Tall reeds swayed gently along the edge of the pond.
trespass,/ˈtrɛspəs/,"(~을) 위반하다, 어기다, 죄를 범하다 <고어>",Forgive us as we forgive those who trespass against us.
trespass,/ˈtrɛspəs/,(~에) 무단 침입하다,The hikers were fined for trespassing on private property.
stick,/stɪk/,"(보통 뾰족한 것을) 찌르다, 박다",The nurse stuck the needle gently into my arm.
ditch,/dɪtʃ/,"버리다, 포기하다",They decided to ditch the plan and start over completely.
ditch,/dɪtʃ/,(사람을) 따돌리다 <같이 놀기로 해 놓고 일방적으로 약속을 어기고 가버리다>,He ditched his friends to hang out with someone cooler.
take each day as it comes,,(미래를 걱정하지 않고) 그날그날을 충실히 살다,"Since the diagnosis, she just tries to take each day as it comes."
garnish,/ˈɡɑrnɪʃ/,(요리에) 고명을 얹다,The chef garnished the plate with a sprig of parsley.
in retrospect,,돌이켜 생각해 보면 <과거의 생각이 잘못된 것이었다는 것을 깨달았을 때>,"In retrospect, I should have accepted that job offer."
speech recognition,/ˌspitʃ ˌrɛkəɡˈnɪʃən/,음성 인식 <무엇을 말하는지 컴퓨터로 인식하는 기술>,Speech recognition software now transcribes meetings almost perfectly.
nausea,/ˈnɔziə/,"욕지기, 메스꺼움",A wave of nausea hit her as the boat rocked.
spook out,,놀라게 하다,The abandoned hospital spooked us out completely.
frustration,/frʌsˈtreɪʃən/,"짜증, 분노, 좌절감, 불만 <원하는 걸 할 수 없을 때 드는 불쾌한 감정>",He slammed the door in frustration after the argument.
beloved,/bɪˈlʌvɪd/,"(대단히) 사랑하는, 사랑받는 <명사 앞에만 씀. 격식 있는 표현>",She dedicated the book to her beloved grandmother.
crush,/krʌʃ/,"눌러 부수다, 으스러뜨리다, 짜부라뜨리다",He crushed the empty can with one hand.
crush,/krʌʃ/,"반한 상대, 푹 빠져있는 대상",She's had a crush on him since high school.
accuse,/əˈkjuz/,비난하다,They accused him of stealing money from the register.
homophobic,/ˌhoʊməˈfoʊbɪk/,"동성애 공포증의, 동성애 혐오의",The comedian was criticized for his homophobic remarks.
peer pressure,/ˈpɪr ˌprɛʃər/,동료 집단으로부터 받는 사회적 압력,Many teenagers start smoking because of peer pressure.
verdict,/ˈvɜrdɪkt/,(배심원단의) 평결,The jury reached a guilty verdict after three days.
bland,/blænd/,"특징 없는, 단조로운",The movie was bland and forgettable from start to finish.
bland,/blænd/,(맛이) 싱거운,"The soup tasted bland, so I added more salt."
screw,/skru/,"~를 속이다, ~에게 바가지를 씌우다 <속어>",That mechanic totally screwed me on the repair bill.
screw,/skru/,나사로 고정시키다,He screwed the shelf firmly onto the wall.
sinister,/ˈsɪnɪstər/,사악한,There was something sinister about his quiet smile.
dangle ~ in front of ~,,"~에게 ~을 제시하다, ~를 ~으로 유혹하다",They dangled a huge bonus in front of the employees.
sluggish,/ˈslʌɡɪʃ/,"굼뜬, 느릿느릿 움직이는, 부진한",I always feel sluggish after eating a big lunch.
open fire,,"공격을 시작하다, 총격을 시작하다",The soldiers opened fire as soon as the enemy appeared.
presumably,/prɪˈzuməbli/,"아마, 짐작건대","He's not answering, so he's presumably still asleep."
